id,text,date,amount,merchant,category,sub_category,direction
53,UPI payment of Rs 4802 to PAYTM successful on 13/09/2025,13/09/2025,4802.0,Paytm,UPI,UPI Payment,Debit
54,Payment of Rs 2682 made to Uber on 10/09/2025 via GPay,10/09/2025,2682.0,Uber,Transport,Ride Sharing,Debit
55,Your salary Rs. 23472 credited to A/c XXXXX5678 on 03/09/2025,03/09/2025,23472.0,Salary,Income,Salary,Credit
56,INR 316 withdrawn from ATM at HDFC Bank on 19/09/2025,19/09/2025,316.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
57,Rs 1453 debited towards Rent Payment on 09/09/2025,09/09/2025,1453.0,Landlord,Bills,Rent,Debit
58,Rs. 3888 spent at Amazon on 06/09/2025. Avl Bal: Rs. 489474,06/09/2025,3888.0,Amazon,Shopping,E-commerce,Debit
59,Your account credited with Rs. 2515 cashback from Flipkart,--,2515.0,Flipkart,Income,Cashback,Credit
60,POS 02/09/2025 Myntra Purchase - INR 4553. Avl Bal: Rs. 487436,02/09/2025,4553.0,Myntra,Shopping,Fashion,Debit
61,INR 2366 withdrawn from ATM at HDFC Bank on 29/09/2025,29/09/2025,2366.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
62,NEFT/ICIC0001234/Transfer Received of INR 37399 on 20/09/2025,20/09/2025,37399.0,Neft,Income,NEFT Transfer,Credit
63,Your a/c XXXXX1234 credited with INR 25530 via NEFT on 17/09/2025,17/09/2025,25530.0,Neft,Income,NEFT Transfer,Credit
64,INR 2214 withdrawn from ATM at HDFC Bank on 06/09/2025,06/09/2025,2214.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
65,POS 19/09/2025 Dominos Pizza - INR 789. Bal: Rs. 544996,19/09/2025,789.0,Dominos,Food,Dining,Debit
66,INR 946 withdrawn from ATM at HDFC Bank on 25/09/2025,25/09/2025,946.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
67,Payment of Rs 3281 made to Uber on 09/09/2025 via GPay,09/09/2025,3281.0,Uber,Transport,Ride Sharing,Debit
68,Your salary Rs. 19449 credited to A/c XXXXX5678 on 17/09/2025,17/09/2025,19449.0,Salary,Income,Salary,Credit
69,Electricity Bill Payment of Rs 2766 successful via PhonePe,--,2766.0,Phonepe,Bills,Electricity,Debit
70,Rs. 3693 debited at Zomato on 02/09/2025. Bal: Rs. 553759,02/09/2025,3693.0,Zomato,Food,Dining,Debit
71,Your salary Rs. 50218 credited to A/c XXXXX5678 on 24/09/2025,24/09/2025,50218.0,Salary,Income,Salary,Credit
72,Your a/c XXXXX1234 credited with INR 48193 via NEFT on 07/09/2025,07/09/2025,48193.0,Neft,Income,NEFT Transfer,Credit
73,INR 3153 withdrawn from ATM at HDFC Bank on 30/09/2025,30/09/2025,3153.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
74,UPI/GooglePay credited Rs 31200 from Rahul on 26/09/2025,26/09/2025,31200.0,Googlepay,UPI,UPI Payment,Credit
75,Payment of Rs 505 made to Uber on 27/09/2025 via GPay,27/09/2025,505.0,Uber,Transport,Ride Sharing,Debit
76,Rs 1838 debited towards Rent Payment on 21/09/2025,21/09/2025,1838.0,Landlord,Bills,Rent,Debit
77,Your salary Rs. 39327 credited to A/c XXXXX5678 on 18/09/2025,18/09/2025,39327.0,Salary,Income,Salary,Credit
78,Your a/c XXXXX1234 credited with INR 20799 via NEFT on 22/09/2025,22/09/2025,20799.0,Neft,Income,NEFT Transfer,Credit
79,UPI payment of Rs 3523 to PAYTM successful on 20/09/2025,20/09/2025,3523.0,Paytm,UPI,UPI Payment,Debit
80,NEFT/ICIC0001234/Transfer Received of INR 14092 on 06/09/2025,06/09/2025,14092.0,Neft,Income,NEFT Transfer,Credit
81,Your a/c XXXXX1234 credited with INR 42127 via NEFT on 29/09/2025,29/09/2025,42127.0,Neft,Income,NEFT Transfer,Credit
82,POS 07/09/2025 Myntra Purchase - INR 1215. Avl Bal: Rs. 789481,07/09/2025,1215.0,Myntra,Shopping,Fashion,Debit
83,Electricity Bill Payment of Rs 4298 successful via PhonePe,--,4298.0,Phonepe,Bills,Electricity,Debit
84,Electricity Bill Payment of Rs 1500 successful via PhonePe,--,1500.0,Phonepe,Bills,Electricity,Debit
85,Electricity Bill Payment of Rs 3927 successful via PhonePe,--,3927.0,Phonepe,Bills,Electricity,Debit
86,Payment of Rs 447 made to Uber on 18/09/2025 via GPay,18/09/2025,447.0,Uber,Transport,Ride Sharing,Debit
87,Your a/c XXXXX1234 credited with INR 7421 via NEFT on 02/09/2025,02/09/2025,7421.0,Neft,Income,NEFT Transfer,Credit
88,Rs. 961 spent at Amazon on 27/09/2025. Avl Bal: Rs. 785769,27/09/2025,961.0,Amazon,Shopping,E-commerce,Debit
89,Rs. 3460 spent at Amazon on 02/09/2025. Avl Bal: Rs. 782309,02/09/2025,3460.0,Amazon,Shopping,E-commerce,Debit
90,POS 06/09/2025 Dominos Pizza - INR 1543. Bal: Rs. 780766,06/09/2025,1543.0,Dominos,Food,Dining,Debit
91,Rs 113 debited towards Rent Payment on 23/09/2025,23/09/2025,113.0,Landlord,Bills,Rent,Debit
92,UPI payment of Rs 182 to PAYTM successful on 06/09/2025,06/09/2025,182.0,Paytm,UPI,UPI Payment,Debit
93,INR 1492 withdrawn from ATM at HDFC Bank on 20/09/2025,20/09/2025,1492.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
94,Your account credited with Rs. 16398 cashback from Flipkart,--,16398.0,Flipkart,Income,Cashback,Credit
95,NEFT/ICIC0001234/Transfer Received of INR 36232 on 25/09/2025,25/09/2025,36232.0,Neft,Income,NEFT Transfer,Credit
96,POS 27/09/2025 Myntra Purchase - INR 1821. Avl Bal: Rs. 829788,27/09/2025,1821.0,Myntra,Shopping,Fashion,Debit
97,INR 739 withdrawn from ATM at HDFC Bank on 12/09/2025,12/09/2025,739.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
98,Electricity Bill Payment of Rs 739 successful via PhonePe,--,739.0,Phonepe,Bills,Electricity,Debit
99,Your a/c XXXXX1234 credited with INR 34256 via NEFT on 29/09/2025,29/09/2025,34256.0,Neft,Income,NEFT Transfer,Credit
100,Rs. 3658 spent at Amazon on 01/09/2025. Avl Bal: Rs. 858908,01/09/2025,3658.0,Amazon,Shopping,E-commerce,Debit
101,POS 06/09/2025 Myntra Purchase - INR 3046. Avl Bal: Rs. 855862,06/09/2025,3046.0,Myntra,Shopping,Fashion,Debit
102,INR 4202 withdrawn from ATM at HDFC Bank on 25/09/2025,25/09/2025,4202.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
103,Rs. 1272 debited at Zomato on 14/09/2025. Bal: Rs. 850388,14/09/2025,1272.0,Zomato,Food,Dining,Debit
104,Electricity Bill Payment of Rs 2483 successful via PhonePe,--,2483.0,Phonepe,Bills,Electricity,Debit
105,Your salary Rs. 49220 credited to A/c XXXXX5678 on 24/09/2025,24/09/2025,49220.0,Salary,Income,Salary,Credit
106,Your salary Rs. 38006 credited to A/c XXXXX5678 on 13/09/2025,13/09/2025,38006.0,Salary,Income,Salary,Credit
107,Your account credited with Rs. 4310 cashback from Flipkart,--,4310.0,Flipkart,Income,Cashback,Credit
108,Electricity Bill Payment of Rs 4611 successful via PhonePe,--,4611.0,Phonepe,Bills,Electricity,Debit
109,Your salary Rs. 27899 credited to A/c XXXXX5678 on 22/09/2025,22/09/2025,27899.0,Salary,Income,Salary,Credit
110,Payment of Rs 4889 made to Uber on 16/09/2025 via GPay,16/09/2025,4889.0,Uber,Transport,Ride Sharing,Debit
111,Electricity Bill Payment of Rs 4825 successful via PhonePe,--,4825.0,Phonepe,Bills,Electricity,Debit
112,Rs. 3256 debited at Zomato on 23/09/2025. Bal: Rs. 949759,23/09/2025,3256.0,Zomato,Food,Dining,Debit
113,Electricity Bill Payment of Rs 1456 successful via PhonePe,--,1456.0,Phonepe,Bills,Electricity,Debit
114,Your salary Rs. 40413 credited to A/c XXXXX5678 on 02/09/2025,02/09/2025,40413.0,Salary,Income,Salary,Credit
115,UPI payment of Rs 3856 to PAYTM successful on 19/09/2025,19/09/2025,3856.0,Paytm,UPI,UPI Payment,Debit
116,Your salary Rs. 4645 credited to A/c XXXXX5678 on 10/09/2025,10/09/2025,4645.0,Salary,Income,Salary,Credit
117,NEFT/ICIC0001234/Transfer Received of INR 39299 on 05/09/2025,05/09/2025,39299.0,Neft,Income,NEFT Transfer,Credit
118,Rs. 3776 debited at Zomato on 20/09/2025. Bal: Rs. 1025028,20/09/2025,3776.0,Zomato,Food,Dining,Debit
119,Rs 2678 debited towards Rent Payment on 20/09/2025,20/09/2025,2678.0,Landlord,Bills,Rent,Debit
120,POS 11/09/2025 Dominos Pizza - INR 3039. Bal: Rs. 1019311,11/09/2025,3039.0,Dominos,Food,Dining,Debit
121,UPI/GooglePay credited Rs 55877 from Rahul on 09/09/2025,09/09/2025,55877.0,Googlepay,UPI,UPI Payment,Credit
122,Electricity Bill Payment of Rs 4689 successful via PhonePe,--,4689.0,Phonepe,Bills,Electricity,Debit
123,Your salary Rs. 56401 credited to A/c XXXXX5678 on 18/09/2025,18/09/2025,56401.0,Salary,Income,Salary,Credit
124,Rs. 2805 debited at Zomato on 30/09/2025. Bal: Rs. 1124095,30/09/2025,2805.0,Zomato,Food,Dining,Debit
125,Electricity Bill Payment of Rs 1742 successful via PhonePe,--,1742.0,Phonepe,Bills,Electricity,Debit
126,Payment of Rs 1319 made to Uber on 19/09/2025 via GPay,19/09/2025,1319.0,Uber,Transport,Ride Sharing,Debit
127,POS 03/09/2025 Myntra Purchase - INR 3917. Avl Bal: Rs. 1117117,03/09/2025,3917.0,Myntra,Shopping,Fashion,Debit
128,NEFT/ICIC0001234/Transfer Received of INR 28961 on 05/09/2025,05/09/2025,28961.0,Neft,Income,NEFT Transfer,Credit
129,Payment of Rs 1612 made to Uber on 26/09/2025 via GPay,26/09/2025,1612.0,Uber,Transport,Ride Sharing,Debit
130,POS 03/09/2025 Dominos Pizza - INR 2191. Bal: Rs. 1142275,03/09/2025,2191.0,Dominos,Food,Dining,Debit
131,UPI/GooglePay credited Rs 19606 from Rahul on 07/09/2025,07/09/2025,19606.0,Googlepay,UPI,UPI Payment,Credit
132,Payment of Rs 1936 made to Uber on 03/09/2025 via GPay,03/09/2025,1936.0,Uber,Transport,Ride Sharing,Debit
133,Your salary Rs. 35207 credited to A/c XXXXX5678 on 25/09/2025,25/09/2025,35207.0,Salary,Income,Salary,Credit
134,Rs. 1929 spent at Amazon on 29/09/2025. Avl Bal: Rs. 1193223,29/09/2025,1929.0,Amazon,Shopping,E-commerce,Debit
135,Rs 2927 debited towards Rent Payment on 06/09/2025,06/09/2025,2927.0,Landlord,Bills,Rent,Debit
136,Your salary Rs. 25452 credited to A/c XXXXX5678 on 12/09/2025,12/09/2025,25452.0,Salary,Income,Salary,Credit
137,Rs 4304 debited towards Rent Payment on 19/09/2025,19/09/2025,4304.0,Landlord,Bills,Rent,Debit
138,Rs. 4142 spent at Amazon on 14/09/2025. Avl Bal: Rs. 1207302,14/09/2025,4142.0,Amazon,Shopping,E-commerce,Debit
139,Payment of Rs 4152 made to Uber on 12/09/2025 via GPay,12/09/2025,4152.0,Uber,Transport,Ride Sharing,Debit
140,Rs. 1980 debited at Zomato on 12/09/2025. Bal: Rs. 1201170,12/09/2025,1980.0,Zomato,Food,Dining,Debit
141,POS 17/09/2025 Myntra Purchase - INR 2709. Avl Bal: Rs. 1198461,17/09/2025,2709.0,Myntra,Shopping,Fashion,Debit
142,POS 22/09/2025 Myntra Purchase - INR 4041. Avl Bal: Rs. 1194420,22/09/2025,4041.0,Myntra,Shopping,Fashion,Debit
143,Your a/c XXXXX1234 credited with INR 58736 via NEFT on 26/09/2025,26/09/2025,58736.0,Neft,Income,NEFT Transfer,Credit
144,INR 2285 withdrawn from ATM at HDFC Bank on 14/09/2025,14/09/2025,2285.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
145,Your account credited with Rs. 55725 cashback from Flipkart,--,55725.0,Flipkart,Income,Cashback,Credit
146,Rs. 2363 debited at Zomato on 29/09/2025. Bal: Rs. 1304233,29/09/2025,2363.0,Zomato,Food,Dining,Debit
147,NEFT/ICIC0001234/Transfer Received of INR 23132 on 27/09/2025,27/09/2025,23132.0,Neft,Income,NEFT Transfer,Credit
148,POS 16/09/2025 Dominos Pizza - INR 636. Bal: Rs. 1326729,16/09/2025,636.0,Dominos,Food,Dining,Debit
149,Payment of Rs 3092 made to Uber on 10/09/2025 via GPay,10/09/2025,3092.0,Uber,Transport,Ride Sharing,Debit
150,Rs. 4787 debited at Zomato on 14/09/2025. Bal: Rs. 1318850,14/09/2025,4787.0,Zomato,Food,Dining,Debit
151,INR 157 withdrawn from ATM at HDFC Bank on 05/09/2025,05/09/2025,157.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
152,Your account credited with Rs. 8422 cashback from Flipkart,--,8422.0,Flipkart,Income,Cashback,Credit
153,UPI/GooglePay credited Rs 59161 from Rahul on 10/09/2025,10/09/2025,59161.0,Googlepay,UPI,UPI Payment,Credit
154,POS 14/09/2025 Myntra Purchase - INR 1920. Avl Bal: Rs. 1384356,14/09/2025,1920.0,Myntra,Shopping,Fashion,Debit
155,POS 12/09/2025 Myntra Purchase - INR 1760. Avl Bal: Rs. 1382596,12/09/2025,1760.0,Myntra,Shopping,Fashion,Debit
156,UPI/GooglePay credited Rs 17567 from Rahul on 16/09/2025,16/09/2025,17567.0,Googlepay,UPI,UPI Payment,Credit
157,Payment of Rs 1746 made to Uber on 02/09/2025 via GPay,02/09/2025,1746.0,Uber,Transport,Ride Sharing,Debit
158,Electricity Bill Payment of Rs 4401 successful via PhonePe,--,4401.0,Phonepe,Bills,Electricity,Debit
159,Your salary Rs. 19381 credited to A/c XXXXX5678 on 12/09/2025,12/09/2025,19381.0,Salary,Income,Salary,Credit
160,UPI/GooglePay credited Rs 38000 from Rahul on 18/09/2025,18/09/2025,38000.0,Googlepay,UPI,UPI Payment,Credit
161,Your a/c XXXXX1234 credited with INR 41443 via NEFT on 05/09/2025,05/09/2025,41443.0,Neft,Income,NEFT Transfer,Credit
162,POS 21/09/2025 Myntra Purchase - INR 4204. Avl Bal: Rs. 1488636,21/09/2025,4204.0,Myntra,Shopping,Fashion,Debit
163,POS 23/09/2025 Myntra Purchase - INR 3880. Avl Bal: Rs. 1484756,23/09/2025,3880.0,Myntra,Shopping,Fashion,Debit
164,Rs. 1310 debited at Zomato on 05/09/2025. Bal: Rs. 1483446,05/09/2025,1310.0,Zomato,Food,Dining,Debit
165,UPI payment of Rs 1748 to PAYTM successful on 23/09/2025,23/09/2025,1748.0,Paytm,UPI,UPI Payment,Debit
166,Electricity Bill Payment of Rs 1782 successful via PhonePe,--,1782.0,Phonepe,Bills,Electricity,Debit
167,Your account credited with Rs. 41557 cashback from Flipkart,--,41557.0,Flipkart,Income,Cashback,Credit
168,Your salary Rs. 27279 credited to A/c XXXXX5678 on 06/09/2025,06/09/2025,27279.0,Salary,Income,Salary,Credit
169,POS 04/09/2025 Dominos Pizza - INR 3643. Bal: Rs. 1545109,04/09/2025,3643.0,Dominos,Food,Dining,Debit
170,UPI payment of Rs 1883 to PAYTM successful on 28/09/2025,28/09/2025,1883.0,Paytm,UPI,UPI Payment,Debit
171,Electricity Bill Payment of Rs 2466 successful via PhonePe,--,2466.0,Phonepe,Bills,Electricity,Debit
172,Rs. 1084 spent at Amazon on 22/09/2025. Avl Bal: Rs. 1539676,22/09/2025,1084.0,Amazon,Shopping,E-commerce,Debit
173,UPI/GooglePay credited Rs 48806 from Rahul on 05/09/2025,05/09/2025,48806.0,Googlepay,UPI,UPI Payment,Credit
174,Rs. 4658 spent at Amazon on 25/09/2025. Avl Bal: Rs. 1583824,25/09/2025,4658.0,Amazon,Shopping,E-commerce,Debit
175,POS 27/09/2025 Myntra Purchase - INR 1794. Avl Bal: Rs. 1582030,27/09/2025,1794.0,Myntra,Shopping,Fashion,Debit
176,Rs 549 debited towards Rent Payment on 07/09/2025,07/09/2025,549.0,Landlord,Bills,Rent,Debit
177,Rs 272 debited towards Rent Payment on 09/09/2025,09/09/2025,272.0,Landlord,Bills,Rent,Debit
178,POS 06/09/2025 Dominos Pizza - INR 3181. Bal: Rs. 1578028,06/09/2025,3181.0,Dominos,Food,Dining,Debit
179,POS 08/09/2025 Dominos Pizza - INR 2099. Bal: Rs. 1575929,08/09/2025,2099.0,Dominos,Food,Dining,Debit
180,Your salary Rs. 2565 credited to A/c XXXXX5678 on 30/09/2025,30/09/2025,2565.0,Salary,Income,Salary,Credit
181,Your account credited with Rs. 52733 cashback from Flipkart,--,52733.0,Flipkart,Income,Cashback,Credit
182,POS 07/09/2025 Dominos Pizza - INR 913. Bal: Rs. 1630314,07/09/2025,913.0,Dominos,Food,Dining,Debit
183,Rs. 4284 debited at Zomato on 24/09/2025. Bal: Rs. 1626030,24/09/2025,4284.0,Zomato,Food,Dining,Debit
184,Your account credited with Rs. 44587 cashback from Flipkart,--,44587.0,Flipkart,Income,Cashback,Credit
185,INR 3535 withdrawn from ATM at HDFC Bank on 25/09/2025,25/09/2025,3535.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
186,UPI payment of Rs 4560 to PAYTM successful on 02/09/2025,02/09/2025,4560.0,Paytm,UPI,UPI Payment,Debit
187,POS 05/09/2025 Dominos Pizza - INR 2872. Bal: Rs. 1659650,05/09/2025,2872.0,Dominos,Food,Dining,Debit
188,Payment of Rs 3163 made to Uber on 08/09/2025 via GPay,08/09/2025,3163.0,Uber,Transport,Ride Sharing,Debit
189,NEFT/ICIC0001234/Transfer Received of INR 46351 on 04/09/2025,04/09/2025,46351.0,Neft,Income,NEFT Transfer,Credit
190,Payment of Rs 1789 made to Uber on 09/09/2025 via GPay,09/09/2025,1789.0,Uber,Transport,Ride Sharing,Debit
191,Rs. 4731 debited at Zomato on 11/09/2025. Bal: Rs. 1696318,11/09/2025,4731.0,Zomato,Food,Dining,Debit
192,Your account credited with Rs. 57248 cashback from Flipkart,--,57248.0,Flipkart,Income,Cashback,Credit
193,Your account credited with Rs. 42861 cashback from Flipkart,--,42861.0,Flipkart,Income,Cashback,Credit
194,Your salary Rs. 36640 credited to A/c XXXXX5678 on 28/09/2025,28/09/2025,36640.0,Salary,Income,Salary,Credit
195,Rs. 714 debited at Zomato on 30/09/2025. Bal: Rs. 1832353,30/09/2025,714.0,Zomato,Food,Dining,Debit
196,Electricity Bill Payment of Rs 4816 successful via PhonePe,--,4816.0,Phonepe,Bills,Electricity,Debit
197,INR 2417 withdrawn from ATM at HDFC Bank on 18/09/2025,18/09/2025,2417.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
198,Your salary Rs. 14549 credited to A/c XXXXX5678 on 22/09/2025,22/09/2025,14549.0,Salary,Income,Salary,Credit
199,Rs. 1115 debited at Zomato on 28/09/2025. Bal: Rs. 1838554,28/09/2025,1115.0,Zomato,Food,Dining,Debit
200,POS 21/09/2025 Dominos Pizza - INR 1942. Bal: Rs. 1836612,21/09/2025,1942.0,Dominos,Food,Dining,Debit
201,UPI/GooglePay credited Rs 27337 from Rahul on 12/09/2025,12/09/2025,27337.0,Googlepay,UPI,UPI Payment,Credit
202,Your account credited with Rs. 54095 cashback from Flipkart,--,54095.0,Flipkart,Income,Cashback,Credit
203,POS 15/09/2025 Myntra Purchase - INR 2502. Avl Bal: Rs. 1915542,15/09/2025,2502.0,Myntra,Shopping,Fashion,Debit
204,UPI payment of Rs 1350 to PAYTM successful on 03/09/2025,03/09/2025,1350.0,Paytm,UPI,UPI Payment,Debit
205,NEFT/ICIC0001234/Transfer Received of INR 24727 on 19/09/2025,19/09/2025,24727.0,Neft,Income,NEFT Transfer,Credit
206,UPI payment of Rs 3717 to PAYTM successful on 25/09/2025,25/09/2025,3717.0,Paytm,UPI,UPI Payment,Debit
207,Electricity Bill Payment of Rs 3144 successful via PhonePe,--,3144.0,Phonepe,Bills,Electricity,Debit
208,Your a/c XXXXX1234 credited with INR 14073 via NEFT on 25/09/2025,25/09/2025,14073.0,Neft,Income,NEFT Transfer,Credit
209,INR 3345 withdrawn from ATM at HDFC Bank on 01/09/2025,01/09/2025,3345.0,Atm,Cash Withdrawal,ATM Withdrawal,Debit
210,Rs. 3946 spent at Amazon on 03/09/2025. Avl Bal: Rs. 1938840,03/09/2025,3946.0,Amazon,Shopping,E-commerce,Debit
211,Your salary Rs. 881 credited to A/c XXXXX5678 on 28/09/2025,28/09/2025,881.0,Salary,Income,Salary,Credit
212,Payment of Rs 1933 made to Uber on 14/09/2025 via GPay,14/09/2025,1933.0,Uber,Transport,Ride Sharing,Debit
213,NEFT/ICIC0001234/Transfer Received of INR 39735 on 17/09/2025,17/09/2025,39735.0,Neft,Income,NEFT Transfer,Credit
