id,text
246,NEFT/ICIC0001234/Transfer Received of INR 23397 on 22/09/2025
247,UPI/GooglePay credited Rs 53334 from Rahul on 21/09/2025
248,UPI payment of Rs 445 to PAYTM successful on 08/09/2025
249,POS 30/09/2025 Dominos Pizza - INR 1478. Bal: Rs. 2116251
250,UPI payment of Rs 4226 to PAYTM successful on 04/09/2025
251,Rs 2007 debited towards Rent Payment on 30/09/2025
252,UPI/GooglePay credited Rs 41891 from Rahul on 14/09/2025
253,POS 19/09/2025 Myntra Purchase - INR 4809. Avl Bal: Rs. 2147100
254,UPI payment of Rs 1624 to PAYTM successful on 03/09/2025
255,POS 13/09/2025 Dominos Pizza - INR 3929. Bal: Rs. 2141547
256,POS 12/09/2025 Dominos Pizza - INR 1953. Bal: Rs. 2139594
257,Your a/c XXXXX1234 credited with INR 58976 via NEFT on 29/09/2025
258,UPI/GooglePay credited Rs 38999 from Rahul on 08/09/2025
259,NEFT/ICIC0001234/Transfer Received of INR 2642 on 25/09/2025
260,Rs. 4375 spent at Amazon on 01/09/2025. Avl Bal: Rs. 2235836
261,POS 13/09/2025 Myntra Purchase - INR 2197. Avl Bal: Rs. 2233639
262,INR 3199 withdrawn from ATM at HDFC Bank on 23/09/2025
263,Rs. 3084 spent at Amazon on 13/09/2025. Avl Bal: Rs. 2227356
264,UPI/GooglePay credited Rs 50797 from Rahul on 16/09/2025
265,Payment of Rs 1723 made to Uber on 17/09/2025 via GPay
266,Your a/c XXXXX1234 credited with INR 20777 via NEFT on 04/09/2025
267,POS 14/09/2025 Dominos Pizza - INR 691. Bal: Rs. 2296516
268,Electricity Bill Payment of Rs 1705 successful via PhonePe
269,POS 11/09/2025 Dominos Pizza - INR 2014. Bal: Rs. 2292797
270,INR 1945 withdrawn from ATM at HDFC Bank on 15/09/2025
271,Your account credited with Rs. 4527 cashback from Flipkart
272,POS 22/09/2025 Dominos Pizza - INR 2698. Bal: Rs. 2292681
273,Rs 2292 debited towards Rent Payment on 16/09/2025
274,POS 01/09/2025 Myntra Purchase - INR 2991. Avl Bal: Rs. 2287398
275,POS 07/09/2025 Myntra Purchase - INR 2957. Avl Bal: Rs. 2284441
276,Electricity Bill Payment of Rs 2944 successful via PhonePe
277,Payment of Rs 3316 made to Uber on 25/09/2025 via GPay
278,Your account credited with Rs. 11919 cashback from Flipkart
279,Rs. 1508 debited at Zomato on 12/09/2025. Bal: Rs. 2288592
280,Electricity Bill Payment of Rs 4952 successful via PhonePe
281,UPI payment of Rs 4882 to PAYTM successful on 23/09/2025
282,INR 2263 withdrawn from ATM at HDFC Bank on 26/09/2025
283,UPI payment of Rs 1398 to PAYTM successful on 23/09/2025
284,POS 04/09/2025 Dominos Pizza - INR 3447. Bal: Rs. 2271650
285,Electricity Bill Payment of Rs 2297 successful via PhonePe
286,Rs. 4904 spent at Amazon on 20/09/2025. Avl Bal: Rs. 2264449
287,Electricity Bill Payment of Rs 4050 successful via PhonePe
288,UPI payment of Rs 880 to PAYTM successful on 20/09/2025
289,Your a/c XXXXX1234 credited with INR 12874 via NEFT on 27/09/2025
290,UPI payment of Rs 4537 to PAYTM successful on 28/09/2025
291,Rs. 1286 spent at Amazon on 01/09/2025. Avl Bal: Rs. 2266570
292,Rs. 3295 spent at Amazon on 29/09/2025. Avl Bal: Rs. 2263275
293,POS 16/09/2025 Myntra Purchase - INR 2160. Avl Bal: Rs. 2261115
294,UPI payment of Rs 3728 to PAYTM successful on 21/09/2025
295,Rs. 873 spent at Amazon on 16/09/2025. Avl Bal: Rs. 2256514
296,INR 3562 withdrawn from ATM at HDFC Bank on 26/09/2025
297,Electricity Bill Payment of Rs 3776 successful via PhonePe
298,POS 28/09/2025 Dominos Pizza - INR 187. Bal: Rs. 2248989
299,UPI payment of Rs 3376 to PAYTM successful on 25/09/2025
300,Rs 4092 debited towards Rent Payment on 27/09/2025
301,NEFT/ICIC0001234/Transfer Received of INR 55405 on 10/09/2025
302,UPI payment of Rs 264 to PAYTM successful on 10/09/2025
303,POS 12/09/2025 Myntra Purchase - INR 2182. Avl Bal: Rs. 2294480
304,INR 323 withdrawn from ATM at HDFC Bank on 17/09/2025
305,POS 16/09/2025 Dominos Pizza - INR 1508. Bal: Rs. 2292649
306,Your a/c XXXXX1234 credited with INR 37198 via NEFT on 20/09/2025
307,Rs. 4460 spent at Amazon on 15/09/2025. Avl Bal: Rs. 2325387
308,Rs 2634 debited towards Rent Payment on 07/09/2025
309,Electricity Bill Payment of Rs 217 successful via PhonePe
310,POS 06/09/2025 Dominos Pizza - INR 3886. Bal: Rs. 2318650
311,Rs. 2192 debited at Zomato on 01/09/2025. Bal: Rs. 2316458
312,INR 1323 withdrawn from ATM at HDFC Bank on 04/09/2025
313,Rs. 3158 spent at Amazon on 27/09/2025. Avl Bal: Rs. 2311977
314,POS 13/09/2025 Myntra Purchase - INR 196. Avl Bal: Rs. 2311781
315,Your account credited with Rs. 45596 cashback from Flipkart
316,Rs 3103 debited towards Rent Payment on 10/09/2025
317,POS 03/09/2025 Dominos Pizza - INR 3142. Bal: Rs. 2351132
318,NEFT/ICIC0001234/Transfer Received of INR 19689 on 10/09/2025
319,INR 3244 withdrawn from ATM at HDFC Bank on 21/09/2025
320,Rs. 2549 spent at Amazon on 05/09/2025. Avl Bal: Rs. 2365028
321,Rs 923 debited towards Rent Payment on 30/09/2025
322,Electricity Bill Payment of Rs 4979 successful via PhonePe
323,Your salary Rs. 51254 credited to A/c XXXXX5678 on 26/09/2025
324,Rs 4393 debited towards Rent Payment on 13/09/2025
325,POS 17/09/2025 Myntra Purchase - INR 3398. Avl Bal: Rs. 2402589
326,POS 20/09/2025 Myntra Purchase - INR 2038. Avl Bal: Rs. 2400551
327,Payment of Rs 3854 made to Uber on 09/09/2025 via GPay
328,Your salary Rs. 44442 credited to A/c XXXXX5678 on 06/09/2025
329,NEFT/ICIC0001234/Transfer Received of INR 28898 on 10/09/2025
330,UPI/GooglePay credited Rs 11070 from Rahul on 09/09/2025
331,NEFT/ICIC0001234/Transfer Received of INR 51823 on 09/09/2025
332,POS 21/09/2025 Myntra Purchase - INR 314. Avl Bal: Rs. 2532616
333,Your salary Rs. 1733 credited to A/c XXXXX5678 on 17/09/2025
334,UPI payment of Rs 2639 to PAYTM successful on 03/09/2025
335,Payment of Rs 2536 made to Uber on 26/09/2025 via GPay
336,Your account credited with Rs. 21674 cashback from Flipkart
337,Payment of Rs 4768 made to Uber on 03/09/2025 via GPay
338,Rs. 534 spent at Amazon on 01/09/2025. Avl Bal: Rs. 2545546
339,UPI payment of Rs 1640 to PAYTM successful on 06/09/2025
340,NEFT/ICIC0001234/Transfer Received of INR 26682 on 13/09/2025
341,UPI payment of Rs 4056 to PAYTM successful on 22/09/2025
342,UPI/GooglePay credited Rs 5880 from Rahul on 02/09/2025
343,Your a/c XXXXX1234 credited with INR 30240 via NEFT on 17/09/2025
344,UPI payment of Rs 3910 to PAYTM successful on 11/09/2025
345,Rs 2583 debited towards Rent Payment on 16/09/2025
346,Electricity Bill Payment of Rs 4130 successful via PhonePe
347,POS 24/09/2025 Myntra Purchase - INR 2150. Avl Bal: Rs. 2589879
348,NEFT/ICIC0001234/Transfer Received of INR 31059 on 06/09/2025
349,UPI/GooglePay credited Rs 24878 from Rahul on 29/09/2025
350,POS 21/09/2025 Dominos Pizza - INR 4235. Bal: Rs. 2641581
351,Your salary Rs. 26343 credited to A/c XXXXX5678 on 04/09/2025
352,NEFT/ICIC0001234/Transfer Received of INR 48053 on 15/09/2025
353,Rs. 1875 debited at Zomato on 17/09/2025. Bal: Rs. 2714102
354,Your a/c XXXXX1234 credited with INR 22166 via NEFT on 20/09/2025
355,Your a/c XXXXX1234 credited with INR 49349 via NEFT on 14/09/2025
356,INR 3072 withdrawn from ATM at HDFC Bank on 08/09/2025
357,Electricity Bill Payment of Rs 1464 successful via PhonePe
358,Your account credited with Rs. 47155 cashback from Flipkart
359,NEFT/ICIC0001234/Transfer Received of INR 26835 on 27/09/2025
360,POS 26/09/2025 Myntra Purchase - INR 257. Avl Bal: Rs. 2854814
361,POS 26/09/2025 Myntra Purchase - INR 860. Avl Bal: Rs. 2853954
362,Payment of Rs 2309 made to Uber on 14/09/2025 via GPay
363,Electricity Bill Payment of Rs 1685 successful via PhonePe
364,Your a/c XXXXX1234 credited with INR 9623 via NEFT on 23/09/2025
365,Rs 4538 debited towards Rent Payment on 25/09/2025
366,Your a/c XXXXX1234 credited with INR 13605 via NEFT on 19/09/2025
367,Rs. 4072 spent at Amazon on 08/09/2025. Avl Bal: Rs. 2864578
368,UPI/GooglePay credited Rs 6723 from Rahul on 17/09/2025
369,Electricity Bill Payment of Rs 4204 successful via PhonePe
370,Rs. 3371 spent at Amazon on 09/09/2025. Avl Bal: Rs. 2863726
371,POS 04/09/2025 Dominos Pizza - INR 3571. Bal: Rs. 2860155
372,Electricity Bill Payment of Rs 1452 successful via PhonePe
373,Rs 2633 debited towards Rent Payment on 23/09/2025
374,Electricity Bill Payment of Rs 1653 successful via PhonePe
375,Electricity Bill Payment of Rs 1898 successful via PhonePe
376,UPI payment of Rs 4060 to PAYTM successful on 08/09/2025
377,Electricity Bill Payment of Rs 4790 successful via PhonePe
378,UPI payment of Rs 3489 to PAYTM successful on 25/09/2025
379,NEFT/ICIC0001234/Transfer Received of INR 49586 on 24/09/2025
380,Payment of Rs 4956 made to Uber on 09/09/2025 via GPay
381,Payment of Rs 3738 made to Uber on 08/09/2025 via GPay
382,Electricity Bill Payment of Rs 1791 successful via PhonePe
383,Electricity Bill Payment of Rs 1381 successful via PhonePe
384,UPI/GooglePay credited Rs 13323 from Rahul on 17/09/2025
385,Your account credited with Rs. 21795 cashback from Flipkart
386,POS 17/09/2025 Myntra Purchase - INR 428. Avl Bal: Rs. 2912590
387,NEFT/ICIC0001234/Transfer Received of INR 36042 on 27/09/2025
388,Your account credited with Rs. 22280 cashback from Flipkart
389,UPI payment of Rs 1174 to PAYTM successful on 29/09/2025
390,UPI/GooglePay credited Rs 44301 from Rahul on 06/09/2025
391,Your salary Rs. 2547 credited to A/c XXXXX5678 on 25/09/2025
392,NEFT/ICIC0001234/Transfer Received of INR 54006 on 19/09/2025
393,Rs. 1510 spent at Amazon on 27/09/2025. Avl Bal: Rs. 3069082
394,Payment of Rs 2490 made to Uber on 09/09/2025 via GPay
395,Your salary Rs. 53753 credited to A/c XXXXX5678 on 03/09/2025
396,NEFT/ICIC0001234/Transfer Received of INR 54066 on 04/09/2025
397,UPI/GooglePay credited Rs 20308 from Rahul on 20/09/2025
398,Electricity Bill Payment of Rs 936 successful via PhonePe
399,Your a/c XXXXX1234 credited with INR 7282 via NEFT on 29/09/2025
